B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4,Y
0.698970004,1.660812503,0,-0.397940009,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.6787818,0,0,N
0.301029996,3.375156861,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.268157915,0,-0.301029996,N
0.602059991,1.910578754,0,-0.602059991,0,0,0,0,0.301029996,0,2.38643721,-0.301029996,0.477121255,1.96507089,0,-0.477121255,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.193772609,0,0,N
0,0,0,0,0,3.260972758,0,0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0.301029996,1.661645681,0,-0.301029996,0,3.6787818,0,0,N
0,0,0,0,0,2.987384586,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0.301029996,2.413778589,0,-0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.414484116,0,0,N
0,0,0,0,0,3.214381514,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,2.662948622,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.108070218,0,0,0,0,0,0,0,0,1.134175291,0.301029996,0,0,3.103815061,0.301029996,N
0,3.267599254,0,0,0,0,0,0,0,0,0,0,0.301029996,0,2.365067928,-0.301029996,N
0,2.485516814,0,0,0,0,0,0,0,0,0,0,0,2.862473197,0,0.477121255,N
0,0,0,0,0,3.193124598,0,0,0,0,3.322789422,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.250615731,0,0.477121255,0,0,0,0,N
0,3.615517326,0,0.477121255,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.103396943,0,0,N
0,0,0,0,0,3.479210808,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,1.994498718,0,0.477121255,0,0,0,0,0,0,0,0,N
0,3.137102034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,1.815954466,0,-0.301029996,N
0,0,0,0,0.301029996,2.090121067,0,-0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.329279291,0,0,N
0,0,0,0,0,3.685049427,0,0,0,1.989567479,0,0,0,0,1.682211863,0,N
0.301029996,2.227403017,0,-0.301029996,0,0,3.13008747,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0.477121255,2.842546525,0,-0.176091259,0,0,2.74419297,0,0,0,0,0,N
0,0,0,0,0,3.13008747,0,0,0,0,0,0,0,0,0,0,N
0,2.137150788,0,0.477121255,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1.696274671,0,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,1.764585282,1.483960679,0.477121255,N
0,2.812592161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,1.081739483,0,0,N
0,0,0,0,0,1.583813982,0,0.301029996,0.301029996,0,2.065203828,-0.301029996,0,0,0,0,N
0,0,0,0,0,2.394264468,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,1.283275951,0,0.301029996,N
0,0,0,0,0,1.455670776,0,0.301029996,0,1.687467205,1.766742517,0.301029996,0,0,0,0,N
0,0,0,0,0,0,0,0,0,3.52234422,0,0,0,0,0,0,N
0.477121255,3.183926517,0.963300368,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,2.695584007,0,0,0,0,0,0,0,1.136382891,0,0,N
0,3.765870336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.112130326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,1.776268653,1.25013126,0.301029996,N
0,0,0,0,0,2.662948622,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,2.036030835,0,0.301029996,0,0,0,0,0,0,1.976921267,0,N
0,3.631182787,0,0.301029996,0,3.474596156,0,0,0,0,1.671860539,0.301029996,0.301029996,0,3.419721329,-0.301029996,N
0.698970004,1.532675299,0,-0.602059991,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.935495168,0,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,3.097725445,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,2.22109411,0.301029996,0,0,0,0,N
0.301029996,3.852278116,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
