B1,I1,C1,P1,R1,F1,M1,B2,I2,C2,P2,R2,F2,M2,B3,I3,C3,P3,R3,F3,M3,B4,I4,C4,P4,R4,F4,M4,Y
0.477121255,3.732794499,1.572988069,0.124938736,1.255272505,0.602059991,4.062214471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,0,2.927724531,-0.301029996,1.86923172,0,3.927724531,N
0,0,0,0,0,0,0,0,0.917478555,0,0,1.079181246,0,3.142787837,0,0,0,0,0,0,0,0,0,2.329279291,0,2.240549248,0,3.107430542,N
0,0,0,0,0,0,0,0,3.089745848,0,0,2.075546961,0,3.089745848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.038989266,0,-0.301029996,1.949390007,0,3.038989266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.371927343,0,0,2.195899652,0,3.371927343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.545111861,0,0,2.243038049,0.301029996,3.545111861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.477121255,2.679303711,1.554364975,-0.176091259,0.77815125,0.301029996,3.457454962,0.301029996,1.15455003,2.694390395,0.176091259,1.897627091,0.477121255,3.674718943,0,0,1.419957309,0,1.959041392,0,3.383745137,0,0,1.274605029,0,1.62324929,0,3.414484116,N
0,0,0,0,0,0,0,0,3.163475845,0,0,2.045322979,0,3.163475845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.602059991,2.459855906,2.199065602,0,2.117271296,0.477121255,3.708875831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.966959257,2.612356922,0.602059991,1.633468456,0.602059991,4.08402578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,1.448512582,0.604149544,0.698970004,1.740362689,0.698970004,3.601331506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.169302314,0,0,2.195899652,0,3.169302314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1.068974453,0,0.301029996,0.602059991,0.301029996,3.321827484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11916598,0.301029996,1.278753601,0.301029996,3.11916598,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.045222966,0,0,0.84509804,0,3.045222966,0,1.848124438,3.034074709,0.477121255,1.633468456,0.477121255,3.357390251,N
0,3.179842713,0,0,1.505149978,0,3.179842713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
